User Type,Question,Answer,Source [1],[2],[3],[4]
EO Expert,How do recent findings reconcile extreme variations in Earth's magnetic field direction with geodynamo processes?,"Recent research has found that extreme variations in the direction of Earth's magnetic field, reaching up to ~10° per year, align closely with simulations of the geodynamo and observational field models spanning the past 100,000 years. These rapid changes, occurring primarily during periods of weakening field strength, are attributed to movements of reversed magnetic flux across the Earth's core surface. The study suggests that these rapid directional changes are consistent with the underlying physics of the dynamo process, highlighting the importance of focusing future investigations on low-latitude regions for further understanding.",Rapid geomagnetic changes inferred from Earth observations and numerical simulations,,,
Journalist,How did Earth observation contribute to managing a recent natural disaster?,"In response to the 2023 Wildfires in Rhodes, Greece, the Copernicus Emergency Mapping Service (EMS) was activated in North Attica, Rodopi, Euboea Island, the Sterea Ellada Region, and East Macedonia. The service uses satellite observations to help civil protection authorities and, in cases of disaster, the international humanitarian community, respond to emergencies.",Wildfires continue to rage in Greece,,,
Journalist,What are the primary applications of Earth observation technologies?,"Earth observation technologies have a wide range of applications across various fields, leveraging satellite imagery, remote sensing, and other advanced techniques to monitor and understand the Earth's environment. Some primary applications include: Agriculture, forestry, risk management, disaster monitoring, maritime, defence and security, natural resource management [1], climate monitoring, and humanitarian issues [2]. ",Applications of Earth Observation,EO from Space: The Optical View MOOC,,
Journalist,How can I access Earth Observation data? ,"Earth Observation data can be acquired through different channels. Free of cost data is generally provided by public agencies, under potential conditions linked to the application envisaged and the nationality of the entity requiring access. Data can also be bought from private companies operating commercial satellites, or by their numerous certified resellers. 
Public examples include:
ESA - https://earth.esa.int/web/guest/home 
ESA- Sentinel - https://sentinel.esa.int/web/sentinel/ 
Sentinel-Hub - https://www.sentinel-hub.com/ 
EUMETSAT - http://www.eumetsat.int/website/home/index.html 
http://earthexplorer.usgs.gov/ 
http://www.ospo.noaa.gov/ 
https://earthdata.nasa.gov/earth-observation-data ",ESA New comers Earth Observation Guide,,,
Journalist,Where can I find high-resolution images of EO satellites and data for use in publications? ,"ESA’s ‘Photolibrary for Professionals’ platform aimed at professionals from media, education and outreach, the platform is packed with decades of photographs, including images of ESA satellites, space vehicles, astronauts and launchers, and links to EO imagery on the ESA website.  ",All new ESA photo library for high-resolution images,,,
Journalist,What are the expected future trends in Earth observation?,"In recent years, Earth Observation (EO) has shifted from using a few large, expensive satellites to deploying constellations of smaller, affordable ones. The focus is moving from increasing spatial resolution to improving coverage and revisit time for near-real-time monitoring. With more data being produced, EO is becoming more accessible, moving beyond its traditional user base. As new players enter the market, prices are expected to decrease. EO providers are evolving from selling raw data to offering intelligent information, such as daily reports on parking lot usage at shopping malls. New technologies, like advanced sensors, space-based video, and reconfigurable payloads, will further enhance EO capabilities [1]. Other trends include the integration of Machine Learning (ML) and Artificial Intelligence (AI) in EO Data Analysis, and an increase in public-private partnerships in the sector [2].",ESA Newcomers Earth Observation Guide,What are the emerging trends in the earth observation (EO) satellites?,,
Journalist,Can you provide details about upcoming satellite missions?,"Sentinel-5 – This mission, scheduled to launch in 2025 carried on MetOp Second Generation A-type weather satellites [1] will monitor air quality, trace gases and aerosols at high spatial resolution with daily global coverage [2]. 
ESA Biomass – This mission is schedule to launch in 2024. It will carry a novel P-band synthetic aperture radar, and is designed to deliver crucial information about the state of our forests and how they are changing, and to further our knowledge of the role forests play in the carbon cycle [3].
The Fluorescence Explorer (FLEX) – The FLEX mission is scheduled to launch in 2025 on Vega-C. It will yield information about the health of the world’s plants. The information gathered will be used to improve our understanding of how carbon moves between plants and the atmosphere and how photosynthesis affects the carbon and water cycles [4].",Sentinel-5 Air Quality Instrument Ready for Installation,Sentinel-5,Biomass: ESA’s forest mission,Flex: ESA’s Photosynthesis Mission
Wider Public,What are some notable Earth observation missions currently in operation?,"Several notable Earth observation missions are currently in operation, contributing to a wide range of environmental and climate monitoring efforts. Here are some key missions: Sentinel-2: The Copernicus Sentinel-2 mission is based on a constellation of two identical satellites in the same orbit. Each satellite carries an innovative wide swath high-resolution multispectral imager with 13 spectral bands for a new perspective of our land and vegetation. [1] Sentinel-5p: Sentinel-5 Precursor – also known as Sentinel-5P – is the first Copernicus mission dedicated to monitoring our atmosphere. The satellite carries the state-of-the-art Tropomi instrument to map a multitude of trace gases, which affect the air we breathe and therefore our health and our climate. [2] Sentinel-6 Michael Freilich: This mission focuses on measuring sea level rise and providing high-precision ocean surface topography data. The satellite carries a Poseidon-4 radar altimeter and a microwave radiometer. [3] Landsat 9: Landsat 9—a partnership between NASA and the U.S. Geological Survey—continues the Landsat program’s critical role in monitoring, understanding, and managing the land resources needed to sustain human life. [4",Sentinel-2,Sentinel-5p,Sentinel-6,Landsat 9
Wider Public,What is the difference between optical imagery and Synthetic Aperture Radar?,"Synthetic Aperture Radar, or SAR is a type of active data collection where a sensor produces its own energy and then records the amount of that energy reflected back after interacting with the Earth. While optical imagery is similar to interpreting a photograph, SAR data require a different way of thinking in that the signal is instead responsive to surface characteristics like structure and moisture.",What is Synthetic Aperture Radar?,,,
Wider Public,How does Earth Observation help in monitoring climate change?,"Satellites help to monitor climate change by collecting data on our planet’s climate system. These satellites provide accurate measurements of the temperature of our oceans, land and atmosphere.[1] The imagery and data provided by EO satellites over almost half a century have been the cornerstone of work to better predict climate change, and the data they are collecting today and into the future are vital for our understanding of the Earth’s interconnected systems in ever more detail. These techniques allow us to monitor the Earth’s health and keep watch for key trends and abrupt or unexpected changes, which in turn allow for better informed policy and decision-making.[2]",How space science can help us combat climate change,Monitoring Climate from Space,,
Wider Public,Are there international collaborations in Earth Observation?,"Yes, numerous international collaborations exist in Earth Observation. One prominent example is the Committee on Earth Observation Satellites (CEOS), which counts 34 agencies among its regular members. These include the European Space Agency (ESA), National Aeronautics and Space Administration (NASA), Centre National d'Etudes Spatiales (CNES), and Japan Aerospace Exploration Agency/Ministry of Education, Culture, Sports, Science, and Technology (JAXA/MEXT). Participating agencies benefit from CEOS by engaging in joint missions, coordinating data systems, and contributing to global initiatives that serve societal interests. Together, CEOS agencies strive to achieve specific goals aligned with their respective agency and mission priorities.",CEOS - Agencies ,,,
Wider Public,How is satellite data validated?,"Satellite data can be validated using information from ground-based measurements. This process, called ""ground truthing,"" involves comparing satellite data to known, accurate measurements taken directly at specific locations, like temperature readings from a thermometer [1]. An example of satellite data validation is checking air quality measurements from satellites like GOME, GOME-2, SCIAMACHY, Sentinel-5p, and OMI against data collected by the in situ Multi Axis Differential Optical Absorption Spectroscopy (MAX-DOAS) instrument.[2] MAX-DOAS instruments can be ground-based or ship based. [3]",Copernicus in situ component,Monitoring Atmosphere from Space MOOC,MAX-DOAS,
Wider Public,What are Essential Climate Variables? ,"The Global Climate Observing System (GCOS) has identified a set of 54 atmosphere, land, and ocean variables as Essential Climate Variables (ECVs). The atmosphere ECVs cover both surface and upper-air atmosphere, and atmospheric composition. Land ECVs cover the hydrosphere, cryosphere, biosphere, and anthroposphere. Ocean ECVs cover physical, biogeochemical, and biological/ecosystems disciplines. [1] ECV datasets provide the empirical evidence needed to understand and predict the evolution of climate, to guide mitigation and adaptation measures, to assess risks and enable attribution of climate events to underlying causes, and to underpin climate services. They are required to support the work of the UNFCCC and the IPCC. [2]",NASA Essential Variables,About Essential Climate Variables,,
Wider Public,What is remote sensing?,"Remote sensing is the measurement of electromagnetic radiation (EMR) emitted or reflected by the Earth. This includes measurements made at the wavelengths of visible light, (for example from cameras on satellites, the International Space Station or even astronaut photography), but also those made at shorter wavelengths such as in the ultraviolet, or longer wavelengths such as in the near infrared, thermal infrared and microwave regions of the electromagnetic spectrum. [1] Remote sensing instruments, aboard satellites and aircraft use the Sun as a source of illumination or provide their own source of illumination, measuring energy that is reflected back. Sensors that use natural energy from the Sun are called passive sensors; those that provide their own source of energy are called active sensors. [2]",Monitoring Climate from Space MOOC ,NASA: What is Remote Sensing?,,
Wider Public,Explain the Greenhouse Effect? ,"The greenhouse effect is the process through which heat is trapped near Earth's surface by substances known as 'greenhouse gases' [1]. The four major greenhouse gases are carbon dioxide, methane, nitrous oxide and chlorofluorocarbons. Over the last century, burning of fossil fuels like coal and oil has increased the concentration of atmospheric carbon dioxide (CO2). This increase happens because the coal or oil burning process combines carbon with oxygen in the air to make CO2. To a lesser extent, clearing of land for agriculture, industry, and other human activities has increased concentrations of greenhouse gases [2]",What is the greenhouse effect?,The Causes of Climate Change,,
Educator,Could you provide case studies illustrating how satellite data has been used to monitor deforestation?,"Satellite data has been instrumental in monitoring deforestation in the Amazon rainforest. For instance, researchers have used data from NASA's Landsat satellites to track changes in forest cover over time from 2000 to 2012, finding out that 2.3 million square kilometres of forest were lost and 0.8 million square kilometres were gained [1]. Another example is a collaboration between the University of Maryland, nonprofit organisation World Resources Institute and NASA, who set up the OPERA Land Surface Disturbance Alert (OPERA DIST-ALERT) a monitoring system that uses satellite data to provide near-real-time detection of disturbances in all types of vegetation around the world.[2]",High-Resolution Global Maps of 21st-Century Forest Cover Change,New satellite data documents deforestation across ecosystems worldwide,,
Educator,Where can I find some easy-to-use free tools to view and learn about satellite imagery? ,"The Climate from Space app offers graphical visualizations of processed satellite data, providing an overview of key climate variables like CO2, ocean colour, and sea surface temperature. It also features multimedia stories that contextualise the data, highlighting major environmental changes such as coastalFc threats and biodiversity loss. Another tool is EO Browser, which is an online platform offering free access to satellite images from various Earth observation missions. Its Education mode provides tailored satellite data on themes like agriculture, atmosphere, and water bodies.",Climate Detectives - Earth Observation Data,,,
Educator,Can you provide updates on recent satellite missions and their objectives?,"Recent satellite missions include Meteosat Third Generation Imager, MTG-I1, Which was launched in December 2022. MTG-I1, as part of Meteosat Third Generation (MTG), will revolutionise storm prediction, enhance weather forecasts, extend climate records, and provide a wide range of essential observations [1]. Sentinel-5p was launched on 13 October 2017. This is the first Copernicus mission dedicated to atmospheric monitoring. The satellite is equipped with the cutting-edge Tropomi instrument, designed to map a wide array of trace gases that influence air quality, public health, and the climate [2]. ESA’s EarthCARE mission launched on 29 May 2024, and has been designed to make a range of different measurements that together will shed new light on the role that clouds and aerosols play in regulating Earth’s climate [3]",Meteosat Third Generation,Sentinel-5p,earthcare,
Educator,Explain in simple terms how satellites measure sea level rise,"Satellites measure sea level rise using altimeters. Satellite altimeters measure sea-level change by timing how long radar or laser pulses take to reach the ocean surface and bounce back to the satellite. Radar pulses are like invisible waves sent down to the sea, and when they bounce back, they give a measurement of how high the sea level is at that spot. Laser pulses work similarly but are used to measure heights of ice on land and sea. For both methods, it's crucial to know exactly where the satellite is in space and how the Earth is positioned below it. This helps ensure accurate measurements of sea-level changes over time.",How do satellites measure sea-level change?,,,
Educator,How does Earth observation technology enhance our ability to study atmospheric aerosols and their impact on the climate system?,"Earth observation technology enhances our ability to study atmospheric aerosols and their impact on the climate system by providing detailed observations over large areas of the planet. Satellites equipped for Earth observation allow us to assess the quantity and characteristics of aerosols, such as their type, spatial distribution, and changes over time globally. This data helps researchers understand the role of aerosols in climate change more comprehensively, including their origins in specific regions, particle sizes, and overall abundance in the atmosphere.",Monitoring Climate from Space MOOC,,,
