Question,Answer,convertible,Open-ended answer
"What sort of things change the salinity of the surface oceans?

A) Rainfall
B) Ice Melt
C) River Inputs
D) All of the Above",D,True,
"Temperature and salinity are responsible for driving which ocean circulation?

A) Thermohaline
B) Upwelling",A,True,
"Which sensors can be used to detect icebergs?

A) Barometers
B) Altimeters
C) Synthetic Aperture Radar
D) Radiometers","B, C, D",True,"Icebergs can be detected by sensors such as altimeters, synthetic aperture radar and radiometers."
"Which Sentinel satellite has a radar sensor that can be used to detect icebergs?

A) Sentinel-1
B) Sentinel-2
C) Sentinel-5p",A,True,The sentinel satellite that has a radar sensor that can be used to detect icebergs is Sentinel-1.
"What sort of information can we get about oil spills from satellites?

A) Location
B) Extent
C) Thickness
D) Potential transport
E) Dispersed oil","A, B, C, D, E",True,"The information we can get about oil spills from satellites includes: location, extent, thickness, potential transport and the presence of dispersed oil."
"Can satellite data be used as evidence to fine polluters in the case of oil spills?

A) Yes
B) No",A,True,
"What sort of things change the colour of ocean water?

A) Sediments
B) Algae/phytoplankton
C) Microplastics","A, B",True,The colour of ocean water can change due to factors such as sediments and algae or phytoplankton.
"What is the primary cause of harmful algal blooms?

A) Natural input of nutrients, i.e. from upwelling circulations
B) Input of nutrients from anthropogenic activities
C) Ocean warming",B,True,
"What does CTD stand for?

A) Conductivity, temperature and depth
B) Carbon, temperature and depth
C) Calcium, temperature and depth",A,True,
"Are all algae harmful?

A) Yes
B) No",B,True,
"What type of instrument is used both in situ and on satellites to measure ocean colour?

A) Altimeter
B) Synthetic Aperture Radar (SAR)
C) Radiometer
D) Spectrophotometer",C,True,
"What tools can we use to predict ocean transport

A) Hydrodynamic models
B) Altimetry derived currents
C) Theoretical particle/floats.","A, B, C",True,"To predict ocean transport we can use tools such as hydrodynamic models, altimetry derived currents and theoretical particles or floats to track and simulate ocean movements."
"Which sensor would be better for detecting small icebergs near the coast?

A) Sentinel-3a
B) Sentinel-2
C) OCO-2
D) IceSat",B,False,
"What satellite sensors are used to detect oil?

A) Altimeters
B) Synthetic Aperture Radar (SAR)
C) Infrared radiometers
D) Optical imagers","B, D",True,Satellite sensors that are used to detect oil include Synthetic Aperture Radar (SAR) and Optical imagers.
"What are the challenges to understanding long term variability in phytoplankton dynamics?

A) Differences between sensors
B) Gaps in the satellite data record
C) Many factors influence phytoplankton growth
D) Limited interest in research","A, B, C",True,"Challenges to understanding long term variability in phytoplankton dynamics include differences between sensors, gaps in the satellite data record and the many factors influencing phytoplankton growth."
"What is the name of the ocean colour sensor on board Sentinel 3?

A) SLSTR
B) MERIS
C) OLCI
D) TROPOMI",C,True,
"Other than phytoplankton, where does carbon in the ocean come from?

A) Rivers
B) Rock weathering
C) Absorbed from the atmosphere
D) Fish","A, B, C",True,"Carbon in the ocean also comes from rivers, rock weathering and is absorbed directly from the atmosphere."
"What are the different pools of carbon in the oceans?

A) Particulate Organic Carbon
B) Particulate Inorganic Carbon
C) Dissolved Organic Carbon
D) Dissolved Inorganic Carbon","A, B, C, D",True,"The different pools of carbon in the ocean are Particulate Organic Carbon, Particulate Inorganic Carbon, Dissolved Organic Carbon, and Dissolved Inorganic Carbon."
"How are phytoplankton (observed from ocean colour) connected to fisheries?

A) They are the basis of the ocean food chain
B) Toxins they produce may kill fish or make them inedible
C) They eat fish larvae","A, B",True,"Phytoplankton observed from ocean colour are connected to fisheries because they are the basis of the ocean food chain, and the toxins they produce may kill fish or make them inedible."
"What is oceanic primary production?

A) The amount of fish and other creatures in the ocean
B) The synthesis of organic compounds from carbon dioxide by phytoplankton
C) The movement of ocean currents
D) The process of ocean water evaporation",B,True,
"The Continuous Plankton Recorder (CPR) is solely designed to capture plankton samples from the water column.

A) True
B) False",B,False,
"Tagged animals monitored by satellites can help us..?

A) Understand their behaviour
B) Understand where their prey lives
C) Collect extra data on the oceans
D) Track pollution","A, B, C",False,
"How can satellite data help us to conserve biodiversity?

A) Understand what species prefer which habitats.
B) Help with decision making about the optimal locations for marine reserves.
C) Measure changes in the environment that may affect different species.","A, B, C",True,"Satellite data can help us to conserve biodiversity by identifying which species prefer specific habitats, aiding in decision-making for optimal locations of marine reserves, and measuring environmental changes that may impact different species."
"What can biologists do with data they receive from tracking animals at sea?

A) Determine their migration routes
B) Identify their foraging areas
C) Evaluate their life expectancy","A, B",True,Biologists can use data from tracking animals at sea to determine their migration routes and identify their foraging areas.
"How do phytoplankton interact with carbon dioxide?

A) Absorb it when they photosynthesise
B) Produce it when they photosynthesise
C) Use it to build their cell walls",A,True,
"What are the two main ways phytoplankton influences the oceans?

A) Photosynthesis
B) Heating as a result of light absorption
C) Predation of other organisms","A, B",False,
"How might satellite data help fisheries be more sustainable?

A) Indicate where there are likely to be the most fish so they can all be caught
B) Indicate where fish nurseries are, so these can be avoided, supporting growth in stocks.
C) Indicate where mature fish congregate, reducing fishing effort and increasing efficiency
D) Indicate areas where top predators (e.g. sea birds and sharks) congregate, so fishermen can avoid catching them by accident.","B, C, D",True,"Satellite data can help fisheries be more sustainable by indicating where fish nurseries are, so these can be avoided, supporting growth in stocks. It can also help identify where mature fish congregate, reducing fishing effort and increasing efficiency. Additionally it can Indicate areas where top predators congregate, so fishermen can avoid catching them by accident."
"How can satellite data help us to measure biodiversity?

A) Detect specific types of habitats
B) Observe fish
C) Follow tracked animals","A, C",True,Satellite data can help us to measure biodiversity by detecting specific types of habitats and following tracked animals to monitor their movements.
"What sort of uses do policy makers have for marine satellite data?

A) Assessing marine tourism activities
B) Quantifying ecosystem status
C) Marine planning","B, C",True,Policy makers use marine satellite data for quantifying ecosystem status and for marine planning.
"What is an MPA?

A) Marine Planning Authority
B) Marine Protected Area
C) Marine Protection Authority",B,False,
"What benefits does satellite data have for policy makers?

A) It gives them more of the whole picture in space and time, rather than individual points
B) A stable, year-to-year time series
C) Limited to short-term observations
D) Can only be used for a specific region","A, B",True,"The benefits satellite data has for policymakers includes giving them more of the whole picture in space and time, rather than individual points, and also providing them with a stable year-to-year time series"
"What sort of industries depend on understanding the oceans?

A) Fishing
B) Transport
C) Oil and gas
D) Military
E) Tourism
F) Spacecraft Engineering","A, B, C, D, E",True,"The sort of industries that depend on understanding the oceans includes the fishing, transport, oil and gas, military, and tourism industries."
"What is the blue economy?

A) The economy related to resources extracted directly from the ocean e.g. oil and gas
B) All industries that contribute to the economy that depends on the ocean for resources
C) Ocean tourism",B,True,
"Citizen science contributes real data to scientific research.

A) True
B) False",A,False,
"Synthetic Aperture Radar (SAR) imagery provides information about the motion of the sea surface. What can changes in colour/shading indicate in a SAR image?

A) Changes in sea surface temperature
B) Changes in heat content
C) Changes in the wind field",C,True,
"How long are the Copernicus programme’s sensors designed to continue?

A) The next 5 years
B) The next 20 years
C) The next 50 years",B,True,
"What benefits does Copernicus have for policy makers?

A) Continued data coverage into the future
B) A range of ocean parameters from satellite
C) Both satellite and model data
D) Available at low cost
E) Available free","A, B, C, E",True,"The benefits that Copernicus provides for policy makers includes continued data coverage into the future, a range of ocean parameters from satellites, both satellite and model data, and the availability of data at no cost."
"What climate does Greenland have?

A) Mild arctic climate
B) Semi-arid arctic climate
C) Subarctic climate",B,True,
"Have Greenland ice losses increased or decreased over the past 2-3 decades?

A) Increased
B) Decreased",A,True,
"Which of the following is possible when using radar in measurements of snow physics?

A) It can look at the microstructure of snow grains
B) It can look at variations in density within the first 10 to 20 metres.
C) It can measure variations in snow structure within the first 50 metres.",B,False,
"How long has Greenland’s Ice Sheet been around for?

A) 50 000 years
B) 100 000 to 200 000 years
C) 400 000 years",B,True,
"How long is the cycle of an ice age?

A) 10,000 years
B) 100,000 years
C) 1 million years",B,True,
"How much of its volume did the Greenland Ice Sheet lose during the last interglacial?

A) 20%
B) 12%
C) 30%",C,True,
"How old are the most ancient rocks in Greenland?

A) 100 million years
B) 1.5 billion years
C) 3 to 4 billion years",C,True,
"What is the effect of the weight of the ice sheet on rock in the centre of Greenland

A) There is no rock beneath the ice sheet
B) The landmass in the centre of Greenland has been pushed below sea level by the weight of the ice
C) The rock has been eroded by the ice",B,True,
"What does ELA stand for?

A) Equilibrium Line Area
B) Equilibrium Level Altitude
C) Equilibrium Line Altitude",C,True,
"How many metres of ice have been lost at Swiss camp since 2000?

A) 12 metres
B) 15 metres
C) 10 metres",A,True,
"How much volume of ice is lost in Greenland by melt and fast-moving ice?

A) around 160 cubic kilometre
B) around 360 cubic kilometres
C) around 560 cubic kilometre",B,True,
"What is needed to validate satellite data on the Greenland Ice Sheet? (Select all that apply)

A) Ground-based measurements
B) Continuous research over time
C) Antarctic biomass readings","A, B",True,"To validate satellite data on the Greenland Ice Sheet, ground-based measurements and continuous research over time are needed."
"How many Automatic Weather Stations (AWS) are there in the Greenland Climate Network?

A) 20
B) 10
C) 3",A,True,
"How far has the ELA moved since the Swiss camp was set up?

A) 20-25km upslope
B) 30-40km upslope
C) 30-40km downslope",B,False,
"What does a SnowMicroPen measure?

A) The thickness of the ice
B) The albedo
C) The individual grain layers in the snow",C,True,
"What was agreed at the COP21 conference within the Paris Agreement?

A) Global warming should keep well below 2 degrees C
B) Global warming is not a long-term issue
C) Global warming can be reversed",A,True,
"What year was the Swiss Camp climate research station in Greenland founded?

A) 1993
B) 1990
C) 1999",B,True,
"How far has Swiss camp station moved since 1990, due to the effects of climate change and ice melt?

A) 1 1/2km
B) 2 1/2km
C) 3 1/2km",B,False,
"Which of the following measurements are done on Automatic Weather Stations in Greenland?

A) Variability of temperature change
B) Synthetic Aperture Radar imaging
C) LIDAR remote sensing",A,True,
"What are the two types of satellite imagery used in observing the Greenland Ice Sheet?

A) Optical
B) GPS
C) Synthetic Aperture Radar (SAR)","A, C",True,The two types of satellite imagery used in observing the Greenland Ice Sheet are optical and Synthetic Aperture Radar (SAR).
"Where has ice speed-up predominantly occurred on Greenland?

A) In the Southern region
B) In the Northern region
C) In the Eastern region",A,True,
"How much has Greenland’s melt area increased by since 1973?

A) By 3 1/2 times
B) By 2 times
C) By 2 1/2 times",C,True,
"What is CryoSat?

A) An altimetry satellite built by ESA and dedicated to polar observation
B) An altimetry satellite built by NASA and dedicated to polar observation
C) The fifth mission in ESA’s fleet of Earth explorers dedicated to provide the best-ever survey of the geomagnetic field and the electric field in the atmosphere",A,True,
"When was CryoSat-2 launched?

A) March 2015
B) April 2011
C) April 2010",C,True,
"What type of measurement does CryoSat-2 take?

A) Sea level
B) Ice thickness and mass
C) Chlorophyll levels",B,True,
"What is Firn?

A) Deep glacial ice that formed over many years
B) Newly fallen snow
C) Porous snow that has survived at least one summer
D) Chlorophyll levels",C,True,
"What does GPR stand for?

A) Ground Pulsing Radar
B) Ground Penetrating Radar
C) Ground Projecting Radar",B,True,
"What can GPR measure in the snow-pack?

A) Snow structure and thickness
B) Water content
C) Pollutants","A, B",True,"In a snowpack, GPR can measure snow structure and thickness, and water content."
"What is surface albedo?

A) The speed at which a surface will melt
B) The width of a surface
C) The ratio of radiation reflected to the radiation incident on a surface",C,True,
"What is the effect on albedo when ice grains are coarse?

A) The albedo is higher
B) The albedo is smaller
C) The albedo is the same",B,True,
"What is the rate at which Greenland’s Jakobshavn glacier is advancing?

A) 11km per year
B) 13km per year
C) 18km per year",C,True,
"What has caused the Greenland Ice Sheet to advance at a rate of 90cm each day, over the last few summers?

A) Meltwater penetrating under the ice and acting as a lubricant
B) Large icebergs breaking up in the centre of the ice sheet causing the edges to fall into the sea
C) Increased snowfall compacting the ice more quickly",A,True,
"What do GPS instruments measure at Automatic Weather Stations in Greenland?

A) Velocity and height change
B) Ice thickness
C) Sea level rise",A,True,
"What is an advantage of using synthetic aperture radar over optical imagery when looking at Greenland?

A) It is higher resolution so details such as glacier features can be easily seen
B) It can see through clouds, giving all weather, day and night capabilities
C) It can take images over a very large area",B,True,
"What measures the height of the Earth’s surface on CryoSat-2?

A) Altimeter
B) Thermometer
C) Scatterometer",A,True,
"What is hoar frost?

A) Heavy snow
B) Light snow
C) Dark snow",B,True,
"Which instruments does CryoSat-2 use?

A) SAR and ASM
B) SIRAL and DORIS
C) VFM and STM",B,True,
"What does ablation refer to?

A) Melting of snow or ice
B) Accumulation of snow or ice
C) Surface albedo",A,True,
"What can only be measured with ground-based point measurements?

A) Microstructure of snow
B) Surface temperature
C) Ice thickness",A,False,
"Where do we expect the biggest contribution to sea level rise eventually to come from, in a warmer climate?

A) Greenland
B) Antarctica
C) Arctic",B,True,
"What is a Moulin?

A) A river of water
B) Frozen sea ice
C) A vertical or nearly vertical shaft in a glacier",C,True,
"What are melt lakes?

A) Water from sea ice melt
B) Small blue areas on top of the ice sheet where meltwater collects
C) Pools of water that form from condensation",B,True,
"What are some of the benefits of sea ice cover?

A) It absorbs pollutants
B) It acts to insulate the warmer ocean from the cooler atmosphere
C) It reflects a large percentage of solar radiation","B, C",True,"Some of the benefits of sea ice cover include its ability to insulate the warmer ocean from the cooler atmosphere, and its ability to reflect a large percentage of solar radiation."
"Approximately how much has summer sea ice extent declined by each decade since the late 1970s?

A) 20%
B) 13%
C) 40%",B,True,
"Which of the following can Greenland Ice Sheet melt have an impact on?

A) Oceanic circulation
B) Atmospheric circulation
C) Weather
D) Climate
E) All of the above",E,False,
"Ice speed can change in response to...?

A) Long term climate change
B) Short term climate changes
C) Both",C,False,
"What do interferograms measure?

A) Deformation and motion of the ice’s surface
B) Sea ice interference
C) Sea level rise",A,True,
"What is the calving front of an ice stream?

A) The area with the highest amount of calving
B) The line between land ice and sea ice
C) The point where icebergs are lost from a glacier",C,True,
"What does Altimetry measure?

A) Surface elevation and elevation change
B) Surface temperature
C) The depth of the ice",A,True,
"What is the equivalent combined total area of Greenland's peripheral glaciers and ice caps?

A) ⅓ the size of England
B) ⅔ the size of England
C) ¾ the size of England",B,False,
"What has been the estimated rate of coastal ice cap thinning in Greenland since 2003?

A) 50cm per year
B) 80cm per year
C) 70cm per year",A,True,
"What is PARCA?

A) A collaboration of research centres measuring the Greenland Ice Sheet
B) An instrument on CryoSat-2
C) Climate change modelling system",A,False,
